Run	Sample Characteristic[block]	Sample Characteristic Ontology Term[block]	Sample Characteristic[developmental stage]	Sample Characteristic Ontology Term[developmental stage]	Sample Characteristic[individual]	Sample Characteristic Ontology Term[individual]	Sample Characteristic[karyotype]	Sample Characteristic Ontology Term[karyotype]	Sample Characteristic[organism]	Sample Characteristic Ontology Term[organism]	Sample Characteristic[organism part]	Sample Characteristic Ontology Term[organism part]	Sample Characteristic[sampling site]	Sample Characteristic Ontology Term[sampling site]	Factor Value[developmental stage]	Factor Value Ontology Term[developmental stage]	Factor Value[organism part]	Factor Value Ontology Term[organism part]	Analysed
ERR1473002	sequencing batch:FC2014_037		Carnegie Stage 18		11627		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 18		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473003	sequencing batch:FC2014_037		Carnegie Stage 18		11456		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Carnegie Stage 18		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473004	sequencing batch:FC2014_073		Late 8 post conception weeks		11800		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Late 8 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473005	sequencing batch:FC2014_073		Late 8 post conception weeks		11492		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			Late 8 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473006	sequencing batch:FC2014_054		16 post conception weeks		11819		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			16 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473007	sequencing batch:FC2014_055		14 post conception weeks		11794		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			14 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473008	sequencing batch:FC2014_055		13 post conception weeks		11501		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			13 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473009	sequencing batch:FC2014_047		12 post conception weeks		1047		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			12 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473010	sequencing batch:FC2014_047		12 post conception weeks		11429		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			12 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473011	sequencing batch:FC2014_047		11 post conception weeks		11798		46, XY		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			11 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
ERR1473012	sequencing batch:FC2014_047		11 post conception weeks		11806		46, XX		Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606	brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955			11 post conception weeks		brain fragment	http://purl.obolibrary.org/obo/UBERON_0000955	Yes
